,filename,link,id
1674,Salem_Snow.csv,https://www.twitter.com/Salem4congress,Salem4congress
1675,Abby_Finkenauer.csv,https://www.twitter.com/Abby4Iowa,Abby4Iowa
1676,Jan_Morgan.csv,https://www.twitter.com/JanMorganMedia,JanMorganMedia
1677,Eugene_Kilbride.csv,https://www.twitter.com/rubiokilbride,rubiokilbride
1678,Michelle_Vallejo.csv,https://www.twitter.com/MichelleVforTX,MichelleVforTX
1679,Michael_Kalagias.csv,https://www.twitter.com/KalagiasforUS,KalagiasforUS
1680,Jack_Achenbach.csv,https://www.twitter.com/JackAchenbach,JackAchenbach
1681,Elfreda_Desvignes.csv,https://www.twitter.com/ElfredaDesvign1,ElfredaDesvign1
1682,Sam_Roberts.csv,https://www.twitter.com/samrobertsny,samrobertsny
1683,Aliscia_Andrews.csv,https://www.twitter.com/alisciaandrews,alisciaandrews
1684,Angel_Vega.csv,https://www.twitter.com/AngelLuisVega,AngelLuisVega
1685,Clyde_Benson.csv,https://www.twitter.com/iamclydebenson,iamclydebenson
1686,Amanda_Stuck.csv,https://www.twitter.com/AmandaStuck8,AmandaStuck8
1687,Joseph_Osborne.csv,https://www.twitter.com/JoeyOsborneNC11,JoeyOsborneNC11
1688,Rhonda_Foxx.csv,https://www.twitter.com/rhonnief,rhonnief
1689,Delano_Scaife.csv,https://www.twitter.com/Scaife4Indiana,Scaife4Indiana
1690,Larry_Crim.csv,https://www.twitter.com/CrimUSSenate,CrimUSSenate
1691,Gus_Trujillo.csv,https://www.twitter.com/GusForTX,GusForTX
1692,Joseph_Alfonso.csv,https://www.twitter.com/AlfonsoforMI4,AlfonsoforMI4
1693,Omar_Bah.csv,https://www.twitter.com/Bah_Omar,Bah_Omar
1694,Mary_Brannon.csv,https://www.twitter.com/ElectBrannon,ElectBrannon
1695,Jon_Hoadley.csv,https://www.twitter.com/jonhoadley,jonhoadley
1696,Thomas_Winter.csv,https://www.twitter.com/WinterForMT,WinterForMT
1697,Marcus_Flowers.csv,https://www.twitter.com/Marcus4Georgia,Marcus4Georgia
1698,Zachariah_Manning.csv,https://www.twitter.com/ZachmanningTX,ZachmanningTX
1699,Kali_Barnett.csv,https://www.twitter.com/KaliforKansas,KaliforKansas
1700,Trey_Holcomb.csv,https://www.twitter.com/TreyHolcomb,TreyHolcomb
1701,Steven_Palazzo.csv,https://www.twitter.com/StevenPalazzo,StevenPalazzo
